date/time	script	user	action	table	field	key value	old value	new value
2017/01/09 06:17:52	/armanda/tb_invoiceedit.php	admin2	*** Batch update begin ***	tb_fee				
2017/01/09 06:17:52	/armanda/tb_invoiceedit.php	admin2	U	tb_fee	barang_id	1	0	1
2017/01/09 06:17:52	/armanda/tb_invoiceedit.php	admin2	U	tb_fee	jumlah	1	0.00	490000
2017/01/09 06:17:52	/armanda/tb_invoiceedit.php	admin2	U	tb_fee	barang_id	2	0	2
2017/01/09 06:17:52	/armanda/tb_invoiceedit.php	admin2	U	tb_fee	jumlah	2	0.00	320000
2017/01/09 06:17:52	/armanda/tb_invoiceedit.php	admin2	*** Batch update successful ***	tb_fee				
2017/01/09 06:17:52	/armanda/tb_invoiceedit.php	admin2	U	tb_invoice	no_invoice	1	11	170001/an/sba-I/2017
2017/01/09 06:26:27	/armanda/tb_invoiceedit.php	admin2	U	tb_invoice	no_invoice	1	170001/an/sba-I/2017	170001/AN/SBA/I/2017
2017/01/09 08:09:13	/armanda/tb_invoiceedit.php	admin2	*** Batch update begin ***	tb_fee				
2017/01/09 08:09:13	/armanda/tb_invoiceedit.php	admin2	U	tb_fee	barang_id	7	0	1
2017/01/09 08:09:13	/armanda/tb_invoiceedit.php	admin2	*** Batch update successful ***	tb_fee				
2017/01/09 08:09:13	/armanda/tb_invoiceedit.php	admin2	U	tb_invoice	no_kuitansi	3		x2x2
2017/01/09 08:39:18	/armanda/tb_invoiceadd.php	admin2	*** Batch insert begin ***	tb_fee				
2017/01/09 08:39:18	/armanda/tb_invoiceadd.php	admin2	A	tb_fee	invoice_id	17		7
2017/01/09 08:39:18	/armanda/tb_invoiceadd.php	admin2	A	tb_fee	barang_id	17		1
2017/01/09 08:39:18	/armanda/tb_invoiceadd.php	admin2	A	tb_fee	harga	17		9000
2017/01/09 08:39:18	/armanda/tb_invoiceadd.php	admin2	A	tb_fee	qty	17		3
2017/01/09 08:39:18	/armanda/tb_invoiceadd.php	admin2	A	tb_fee	satuan	17		
2017/01/09 08:39:18	/armanda/tb_invoiceadd.php	admin2	A	tb_fee	jumlah	17		27000
2017/01/09 08:39:18	/armanda/tb_invoiceadd.php	admin2	A	tb_fee	keterangan	17		[MEMO]
2017/01/09 08:39:18	/armanda/tb_invoiceadd.php	admin2	A	tb_fee	id	17		17
2017/01/09 08:39:18	/armanda/tb_invoiceadd.php	admin2	*** Batch insert successful ***	tb_fee				
2017/01/09 08:39:18	/armanda/tb_invoiceadd.php	admin2	A	tb_invoice	customer_id	7		2
2017/01/09 08:39:18	/armanda/tb_invoiceadd.php	admin2	A	tb_invoice	no_invoice	7		kol
2017/01/09 08:39:18	/armanda/tb_invoiceadd.php	admin2	A	tb_invoice	tgl_invoice	7		2017-01-09
2017/01/09 08:39:18	/armanda/tb_invoiceadd.php	admin2	A	tb_invoice	no_order	7		
2017/01/09 08:39:18	/armanda/tb_invoiceadd.php	admin2	A	tb_invoice	no_referensi	7		
2017/01/09 08:39:18	/armanda/tb_invoiceadd.php	admin2	A	tb_invoice	kegiatan	7		[MEMO]
2017/01/09 08:39:18	/armanda/tb_invoiceadd.php	admin2	A	tb_invoice	tgl_pelaksanaan	7		
2017/01/09 08:39:18	/armanda/tb_invoiceadd.php	admin2	A	tb_invoice	no_sertifikat	7		
2017/01/09 08:39:18	/armanda/tb_invoiceadd.php	admin2	A	tb_invoice	keterangan	7		[MEMO]
2017/01/09 08:39:18	/armanda/tb_invoiceadd.php	admin2	A	tb_invoice	ppn	7		
2017/01/09 08:39:18	/armanda/tb_invoiceadd.php	admin2	A	tb_invoice	terbayar	7		
2017/01/09 08:39:18	/armanda/tb_invoiceadd.php	admin2	A	tb_invoice	pasal23	7		0
2017/01/09 08:39:18	/armanda/tb_invoiceadd.php	admin2	A	tb_invoice	no_kuitansi	7		-
2017/01/09 08:39:18	/armanda/tb_invoiceadd.php	admin2	A	tb_invoice	id	7		7
2017/01/09 09:27:33	/armanda/tb_invoiceadd.php	admin2	*** Batch insert begin ***	tb_fee				
2017/01/09 09:27:33	/armanda/tb_invoiceadd.php	admin2	*** Batch insert begin ***	tb_pelaksanaan				
2017/01/09 09:27:33	/armanda/tb_invoiceadd.php	admin2	A	tb_pelaksanaan	invoice_id	1		8
2017/01/09 09:27:33	/armanda/tb_invoiceadd.php	admin2	A	tb_pelaksanaan	pelaksanaan_tgl	1		2017-01-09
2017/01/09 09:27:33	/armanda/tb_invoiceadd.php	admin2	A	tb_pelaksanaan	pelaksanaan_id	1		1
2017/01/09 09:27:33	/armanda/tb_invoiceadd.php	admin2	*** Batch insert successful ***	tb_pelaksanaan				
2017/01/09 09:27:33	/armanda/tb_invoiceadd.php	admin2	A	tb_invoice	customer_id	8		1
2017/01/09 09:27:33	/armanda/tb_invoiceadd.php	admin2	A	tb_invoice	no_invoice	8		popok
2017/01/09 09:27:33	/armanda/tb_invoiceadd.php	admin2	A	tb_invoice	tgl_invoice	8		2017-01-09
2017/01/09 09:27:33	/armanda/tb_invoiceadd.php	admin2	A	tb_invoice	no_order	8		
2017/01/09 09:27:33	/armanda/tb_invoiceadd.php	admin2	A	tb_invoice	no_referensi	8		
2017/01/09 09:27:33	/armanda/tb_invoiceadd.php	admin2	A	tb_invoice	kegiatan	8		[MEMO]
2017/01/09 09:27:33	/armanda/tb_invoiceadd.php	admin2	A	tb_invoice	no_sertifikat	8		
2017/01/09 09:27:33	/armanda/tb_invoiceadd.php	admin2	A	tb_invoice	keterangan	8		[MEMO]
2017/01/09 09:27:33	/armanda/tb_invoiceadd.php	admin2	A	tb_invoice	ppn	8		
2017/01/09 09:27:33	/armanda/tb_invoiceadd.php	admin2	A	tb_invoice	terbayar	8		
2017/01/09 09:27:33	/armanda/tb_invoiceadd.php	admin2	A	tb_invoice	pasal23	8		0
2017/01/09 09:27:33	/armanda/tb_invoiceadd.php	admin2	A	tb_invoice	no_kuitansi	8		
2017/01/09 09:27:33	/armanda/tb_invoiceadd.php	admin2	A	tb_invoice	id	8		8
2017/01/09 09:34:27	/armanda/tb_invoiceedit.php	admin2	*** Batch update begin ***	tb_fee				
2017/01/09 09:34:27	/armanda/tb_invoiceedit.php	admin2	A	tb_fee	invoice_id	18		8
2017/01/09 09:34:27	/armanda/tb_invoiceedit.php	admin2	A	tb_fee	barang_id	18		1
2017/01/09 09:34:27	/armanda/tb_invoiceedit.php	admin2	A	tb_fee	harga	18		7500
2017/01/09 09:34:27	/armanda/tb_invoiceedit.php	admin2	A	tb_fee	qty	18		4
2017/01/09 09:34:27	/armanda/tb_invoiceedit.php	admin2	A	tb_fee	satuan	18		
2017/01/09 09:34:27	/armanda/tb_invoiceedit.php	admin2	A	tb_fee	jumlah	18		30000
2017/01/09 09:34:27	/armanda/tb_invoiceedit.php	admin2	A	tb_fee	keterangan	18		[MEMO]
2017/01/09 09:34:27	/armanda/tb_invoiceedit.php	admin2	A	tb_fee	id	18		18
2017/01/09 09:34:27	/armanda/tb_invoiceedit.php	admin2	A	tb_fee	invoice_id	19		8
2017/01/09 09:34:27	/armanda/tb_invoiceedit.php	admin2	A	tb_fee	barang_id	19		2
2017/01/09 09:34:27	/armanda/tb_invoiceedit.php	admin2	A	tb_fee	harga	19		8000
2017/01/09 09:34:27	/armanda/tb_invoiceedit.php	admin2	A	tb_fee	qty	19		5
2017/01/09 09:34:27	/armanda/tb_invoiceedit.php	admin2	A	tb_fee	satuan	19		
2017/01/09 09:34:27	/armanda/tb_invoiceedit.php	admin2	A	tb_fee	jumlah	19		40000
2017/01/09 09:34:27	/armanda/tb_invoiceedit.php	admin2	A	tb_fee	keterangan	19		[MEMO]
2017/01/09 09:34:27	/armanda/tb_invoiceedit.php	admin2	A	tb_fee	id	19		19
2017/01/09 09:34:27	/armanda/tb_invoiceedit.php	admin2	*** Batch update successful ***	tb_fee				
2017/01/09 09:34:27	/armanda/tb_invoiceedit.php	admin2	*** Batch update begin ***	tb_pelaksanaan				
2017/01/09 09:34:27	/armanda/tb_invoiceedit.php	admin2	*** Batch update successful ***	tb_pelaksanaan				
2017/01/09 09:34:42	/armanda/tb_pelaksanaanadd.php	admin2	A	tb_pelaksanaan	invoice_id	2		8
2017/01/09 09:34:42	/armanda/tb_pelaksanaanadd.php	admin2	A	tb_pelaksanaan	pelaksanaan_tgl	2		2017-01-10
2017/01/09 09:34:42	/armanda/tb_pelaksanaanadd.php	admin2	A	tb_pelaksanaan	pelaksanaan_id	2		2
2017/01/09 09:51:33	/armanda/tb_invoiceadd.php	admin2	*** Batch insert begin ***	tb_fee				
2017/01/09 09:51:33	/armanda/tb_invoiceadd.php	admin2	A	tb_fee	invoice_id	20		9
2017/01/09 09:51:33	/armanda/tb_invoiceadd.php	admin2	A	tb_fee	barang_id	20		1
2017/01/09 09:51:33	/armanda/tb_invoiceadd.php	admin2	A	tb_fee	harga	20		70
2017/01/09 09:51:33	/armanda/tb_invoiceadd.php	admin2	A	tb_fee	qty	20		7
2017/01/09 09:51:33	/armanda/tb_invoiceadd.php	admin2	A	tb_fee	satuan	20		
2017/01/09 09:51:33	/armanda/tb_invoiceadd.php	admin2	A	tb_fee	jumlah	20		490
2017/01/09 09:51:33	/armanda/tb_invoiceadd.php	admin2	A	tb_fee	keterangan	20		[MEMO]
2017/01/09 09:51:33	/armanda/tb_invoiceadd.php	admin2	A	tb_fee	id	20		20
2017/01/09 09:51:33	/armanda/tb_invoiceadd.php	admin2	A	tb_fee	invoice_id	21		9
2017/01/09 09:51:33	/armanda/tb_invoiceadd.php	admin2	A	tb_fee	barang_id	21		2
2017/01/09 09:51:33	/armanda/tb_invoiceadd.php	admin2	A	tb_fee	harga	21		80
2017/01/09 09:51:33	/armanda/tb_invoiceadd.php	admin2	A	tb_fee	qty	21		8
2017/01/09 09:51:33	/armanda/tb_invoiceadd.php	admin2	A	tb_fee	satuan	21		
2017/01/09 09:51:33	/armanda/tb_invoiceadd.php	admin2	A	tb_fee	jumlah	21		640
2017/01/09 09:51:33	/armanda/tb_invoiceadd.php	admin2	A	tb_fee	keterangan	21		[MEMO]
2017/01/09 09:51:33	/armanda/tb_invoiceadd.php	admin2	A	tb_fee	id	21		21
2017/01/09 09:51:33	/armanda/tb_invoiceadd.php	admin2	*** Batch insert successful ***	tb_fee				
2017/01/09 09:51:33	/armanda/tb_invoiceadd.php	admin2	*** Batch insert begin ***	tb_pelaksanaan				
2017/01/09 09:51:33	/armanda/tb_invoiceadd.php	admin2	A	tb_pelaksanaan	invoice_id	3		9
2017/01/09 09:51:33	/armanda/tb_invoiceadd.php	admin2	A	tb_pelaksanaan	pelaksanaan_tgl	3		2017-01-09
2017/01/09 09:51:33	/armanda/tb_invoiceadd.php	admin2	A	tb_pelaksanaan	pelaksanaan_id	3		3
2017/01/09 09:51:33	/armanda/tb_invoiceadd.php	admin2	A	tb_pelaksanaan	invoice_id	4		9
2017/01/09 09:51:33	/armanda/tb_invoiceadd.php	admin2	A	tb_pelaksanaan	pelaksanaan_tgl	4		2017-01-10
2017/01/09 09:51:33	/armanda/tb_invoiceadd.php	admin2	A	tb_pelaksanaan	pelaksanaan_id	4		4
2017/01/09 09:51:33	/armanda/tb_invoiceadd.php	admin2	A	tb_pelaksanaan	invoice_id	5		9
2017/01/09 09:51:33	/armanda/tb_invoiceadd.php	admin2	A	tb_pelaksanaan	pelaksanaan_tgl	5		2017-01-11
